,gene,pval,padj,lfc
7381,Exosc8,8.123968567699235e-25,4.018521052012426e-21,-0.9487662451531289
6134,Lrrc17,5.417509972095779e-25,4.018521052012426e-21,-2.708322997946505
1859,Gm42418,8.603768040068372e-24,2.837235907346547e-20,-1.5734882216522408
1982,mt-Rnr1,1.681847313068769e-23,4.159628867047333e-20,-0.7043471064906761
7359,Cdk12,3.273390036205504e-23,5.397274604696842e-20,-0.9056966049031461
9693,A830010M20Rik,3.273390036205504e-23,5.397274604696842e-20,-0.9960531821286018
1194,mt-Rnr2,4.471408762104499e-23,5.748888030763281e-20,-0.6661734775947838
3981,Apool,4.648853153351486e-23,5.748888030763281e-20,-0.7455090147160108
7625,Phactr4,9.710316127557963e-23,1.0673795272214548e-19,-0.8496169980952404
5467,Hspb1,1.2720165813594827e-22,1.1440054581263055e-19,-0.9112497555662351
3719,Letm2,1.177667569966963e-22,1.1440054581263055e-19,-0.9341131150519981
843,mt-Atp6,1.7302623965449762e-22,1.4217179842029647e-19,-0.9769455583478575
144,Kif17,2.0172742980507983e-22,1.4217179842029647e-19,-0.8600230843583452
3611,Prkch,2.4430613293692915e-22,1.4217179842029647e-19,-0.5878916287339946
9525,Gm26917,2.1779720210239757e-22,1.4217179842029647e-19,-2.2673315262111755
2094,Parp2,2.4430613293692915e-22,1.4217179842029647e-19,-0.5865110107972535
5121,Toe1,2.0172742980507983e-22,1.4217179842029647e-19,-0.646152190030933
6060,Exosc3,4.01246664183265e-22,2.2052962493139114e-19,-0.6959539055422921
5511,Htr7,7.6476048443704675e-22,3.9286381844729256e-19,-1.1944400816589402
7734,Senp8,7.942258535273275e-22,3.9286381844729256e-19,-0.7470768237616863
8435,Dusp16,1.3462298220827192e-21,6.21124426184702e-19,-0.7142038692667247
5292,Fmn1,1.3977836011652412e-21,6.21124426184702e-19,-0.7383014645475621
9710,Mitf,1.506821614114308e-21,6.21124426184702e-19,-0.7644384663680368
203,Pcgf6,1.506821614114308e-21,6.21124426184702e-19,-0.977569793714399
4258,Spice1,1.8869960959554605e-21,7.467220950914948e-19,-0.6167997826747023
8314,Ppard,2.5449815484925967e-21,9.68365479201433e-19,-1.1945563678726607
5396,Wnt9a,2.742191799128019e-21,1.0047593877323516e-18,-0.6794599737987825
366,Nop2,3.1830682218862478e-21,1.124646211397166e-18,-0.7480253820054026
2541,Krt10,4.2857729166768556e-21,1.4620397056787634e-18,-0.8476122677770386
9697,Col11a1,4.971234535618418e-21,1.6393474420291003e-18,-0.7363637966498802
4930,Plekhm1,5.158895430773198e-21,1.6463533063432013e-18,-0.7906324649877332
6127,Epb41l4aos,5.5554866263064e-21,1.717513412314038e-18,-0.8250724649007726
4617,Sirt1,6.207564968753277e-21,1.8609527344204897e-18,-0.7671912353048915
1881,Rpap1,7.196072704641986e-21,2.0938455078536227e-18,-0.9230156081902736
4565,2610021A01Rik,8.038180990812167e-21,2.2720492726315648e-18,-0.9579652295148948
9026,Ssh3,8.339989164413959e-21,2.2918753556540915e-18,-0.7986363521710498
6076,Naa40,1.119418327260343e-20,2.993082570699074e-18,-0.78874879997925
7533,Cactin,1.2964309866130255e-20,3.3751557238322793e-18,-0.8054356483548739
4674,Sertad4,1.6752249748702048e-20,4.249487352920753e-18,-0.7087089549008265
8480,Cep164,1.9388458549177935e-20,4.7952505106754325e-18,-0.7297173142453959
8521,Srgap1,2.2434124465540884e-20,5.4131900814047794e-18,-0.6488964478054671
3206,Ppm1d,2.326667315731449e-20,5.480409465364578e-18,-0.8561813069604538
7374,Dcps,2.6913474012998078e-20,6.191976707223024e-18,-0.8496142330081939
8278,Herc6,3.1124396489178384e-20,6.998037601532767e-18,-0.788994500534371
7901,Pgpep1,3.598552380147859e-20,7.911217488178394e-18,-0.738372155582165
9884,Chrm2,3.731369490892251e-20,8.024877907260227e-18,-0.6914752494320622
8450,Robo3,3.8690306139019647e-20,8.143897843262155e-18,-0.7485339793106434
577,Scrt2,4.312854328229299e-20,8.888972472744262e-18,-0.8670346997453988
420,Sox21,4.9837591053800003e-20,9.86086576590487e-18,-0.8137210536396022
2340,Stat6,4.9837591053800003e-20,9.86086576590487e-18,-0.6732574314207067
1342,Fkbp5,5.553704900498273e-20,1.0773098545221455e-17,-0.7184104387350052
2836,E2f3,5.757646771522434e-20,1.095392298282143e-17,-0.652359517388704
8784,Zfp780b,6.893794816075961e-20,1.286798341800745e-17,-0.7041980313099172
104,Mettl21a,7.407950460025768e-20,1.3086938196613379e-17,-0.6752419774892289
6666,Gtpbp8,7.407950460025768e-20,1.3086938196613379e-17,-0.7406825120816611
7598,Zkscan8,7.407950460025768e-20,1.3086938196613379e-17,-0.6741824223842876
8691,Dkkl1,7.959975279083414e-20,1.381544481332846e-17,-0.8239401239460333
2109,Apln,8.251041451262763e-20,1.4073716047817677e-17,-0.699484957156538
7282,Ercc4,8.552622480700206e-20,1.434086342399443e-17,-0.7076840228152976
9053,Lama2,9.188842762228386e-20,1.5150870241120905e-17,-0.73021739645508
6054,Plagl1,1.0231851404250254e-19,1.5816204053476214e-17,-1.0152626832376166
7138,Nat10,1.0231851404250254e-19,1.5816204053476214e-17,-0.5027590553740335
4664,Slc8a3,1.0231851404250254e-19,1.5816204053476214e-17,-0.7474012228727007
2797,Tsga10,9.871798280288648e-20,1.5816204053476214e-17,-0.8699692942598469
4797,Kcna4,1.0604877593975756e-19,1.61406236980311e-17,-0.7858053562599405
4047,Anks1,1.099133841688524e-19,1.6475350145188738e-17,-0.874489514168669
6978,Arhgap42,1.1391711648769777e-19,1.682062736437006e-17,-0.6959321523184228
332,Rgs16,1.5158689016537301e-19,2.2053663300088752e-17,-0.8179768796423117
7433,Rn18s-rs5,1.5708741954434545e-19,2.2522693355829125e-17,-1.6807606154437895
3076,Lrrc3b,1.876905845578024e-19,2.6526042186147702e-17,-0.6936158602847433
4649,Papss2,2.2417165107091707e-19,3.123563583161384e-17,-0.575331985830239
9069,Psmg2,2.3226768243343244e-19,3.1914224754360375e-17,-0.8117752908223332
9784,Zfp689,2.4065249458231538e-19,3.261335793017597e-17,-0.6534667073590521
1914,Ier3,2.493362563801225e-19,3.288911445824736e-17,-0.7897566200184238
6102,Nkd1,2.493362563801225e-19,3.288911445824736e-17,-0.8031461213649136
987,Chdh,2.676430830922824e-19,3.483938185568355e-17,-0.5822084231671614
8469,Trmt10b,2.872768007208728e-19,3.690947259131941e-17,-0.6372268248148094
3697,Zfp593,2.976206424138925e-19,3.7748218146162036e-17,-0.7057428486813073
8551,Grik1,3.1942469977806854e-19,3.95008569363054e-17,-0.6985684519387796
2305,Trnau1ap,3.1942469977806854e-19,3.95008569363054e-17,-0.7282905323559863
3862,Hcn3,3.3091118492242177e-19,4.0416103116512576e-17,-0.7286076808303568
9115,6330403L08Rik,3.4280558121046276e-19,4.1358239206281805e-17,-0.6725085650422988
4115,Slc30a7,3.8108171577605145e-19,4.4881445406815205e-17,-1.114715142529227
6251,Zfp14,3.8108171577605145e-19,4.4881445406815205e-17,-0.8372498919905631
1755,Zfp346,3.9475577610824167e-19,4.594492815339806e-17,-0.643927727267922
1077,Snhg3,4.235744103314723e-19,4.816576599320983e-17,-0.8040395804226366
5847,Fbxl20,4.235744103314723e-19,4.816576599320983e-17,-0.9497283101763436
6257,Gm37494,5.050318645471884e-19,5.613798017938578e-17,-0.7203069958546795
8259,Ctnnd1,5.050318645471884e-19,5.613798017938578e-17,-0.765286102163059
2504,Smad5,5.230907654672131e-19,5.749929936407933e-17,-0.8783457713563658
2322,Gm12155,5.417872900620435e-19,5.89000182481736e-17,-1.567988378649198
2167,Tstd2,5.611436578020921e-19,6.034124137647932e-17,-0.6811200989409905
7881,Ap5z1,5.811828519534311e-19,6.116640376994993e-17,-0.5499108546340521
7421,Dph2,5.811828519534311e-19,6.116640376994993e-17,-0.8581224356118788
3294,Dock11,6.456392321422313e-19,6.584854560394942e-17,-0.89626698847845
1239,Shb,6.456392321422313e-19,6.584854560394942e-17,-0.5536723433469133
5717,Unc119b,6.456392321422313e-19,6.584854560394942e-17,-0.9147636435183788
5991,Xpc,6.924824340787268e-19,6.990539510551881e-17,-0.7766361830679029
9321,Sepsecs,7.171473807240235e-19,7.024494096537391e-17,-0.5963300273730763
6728,Rffl,7.171473807240235e-19,7.024494096537391e-17,-0.6070093352269339
403,Atad2b,7.171473807240235e-19,7.024494096537391e-17,-0.6902090427457699
100,Zfand1,7.426797098573868e-19,7.203265068254046e-17,-0.7175577584551709
9312,Etaa1,7.691095232871844e-19,7.38718496493215e-17,-0.7193744348391284
1468,Ppp2r1b,7.964679532090888e-19,7.576401404901457e-17,-0.6364112980857586
1627,Rhobtb3,8.24787196974912e-19,7.697754471389438e-17,-1.1439054738100092
6201,4933427D14Rik,8.24787196974912e-19,7.697754471389438e-17,-1.006004682402117
5521,1600014C10Rik,8.541005530170023e-19,7.896838103735705e-17,-0.6901594216185929
3464,2610008E11Rik,1.0901752159010725e-18,9.986206861953066e-17,-0.6697642169104094
3527,Bloc1s2,1.128785180939294e-18,1.0245019995442601e-16,-0.6699355041005122
4071,Sox4,1.1687450432869759e-18,1.0511267921125501e-16,-0.8196406777476897
3829,Ece1,1.2101013709921089e-18,1.0785164741644084e-16,-0.8665531685796362
6636,Npas4,1.252902316377657e-18,1.1066930907075143e-16,-0.6460906745586277
53,Zfp729b,1.343038911345254e-18,1.1758127389326192e-16,-0.7790465703174227
6178,Arl6ip6,1.4395737952401812e-18,1.2492722417816766e-16,-0.6545774802713922
2353,Gatb,1.597361094195967e-18,1.3623011469724744e-16,-0.6862963924645271
8431,Malat1,1.597361094195967e-18,1.3623011469724744e-16,-1.5597698227571133
6814,Nkx2-2,1.6536609455340514e-18,1.3982621995015702e-16,-0.6227296770213258
55,Fam181b,1.8345835925860505e-18,1.5380962272418473e-16,-0.5678922278487004
6701,Scn4b,1.8991305856119674e-18,1.5788318389461507e-16,-0.7977604953577764
5548,Fam126a,2.0350259031625013e-18,1.6638439057840187e-16,-0.8026872537495304
8502,Zfp948,2.0350259031625013e-18,1.6638439057840187e-16,-0.6289033985092365
6954,Frs3,2.1065304054966495e-18,1.6671924241262681e-16,-0.6310114526196955
2832,Meis3,2.1065304054966495e-18,1.6671924241262681e-16,-0.6943736700591163
860,Zfp65,2.1065304054966495e-18,1.6671924241262681e-16,-0.6413598524942037
6454,Gstk1,2.1065304054966495e-18,1.6671924241262681e-16,-0.6605960920800067
369,Igsf3,2.257063517322901e-18,1.7581991635335008e-16,-0.5678049261891083
8402,Dennd6b,2.257063517322901e-18,1.7581991635335008e-16,-1.0287629837821095
8371,Ascc3,2.502989484683657e-18,1.9345371071855798e-16,-0.5555702442090098
3672,Ino80c,2.775336681275618e-18,2.1284035494464877e-16,-0.587549438336076
1040,Mettl14,3.07690250011366e-18,2.323648582719423e-16,-1.206589839631846
9706,Myl4,3.07690250011366e-18,2.323648582719423e-16,-0.8114324761665523
1481,Crhbp,3.4107760421631946e-18,2.5370531868511643e-16,-0.7472159239852827
6784,Cst3,3.4107760421631946e-18,2.5370531868511643e-16,0.6406181116961456
6531,Tyw5,3.5298263475618126e-18,2.6060128400320157e-16,-0.4949755849091595
5289,Iffo2,3.780368056584723e-18,2.770309717317975e-16,-0.6254155713865863
6588,Spry3,3.912142742821743e-18,2.845796187848199e-16,-0.6382186518062021
1791,Lactb,4.048450101354255e-18,2.9022693371520033e-16,-0.7606009221600747
8959,Frat1,4.048450101354255e-18,2.9022693371520033e-16,-0.6483444890177141
3262,Ubtd1,4.335283062633762e-18,3.0855363552975396e-16,-0.617343236271549
6324,Reck,4.486131803929854e-18,3.1476100664026983e-16,-0.5378708116235433
7363,Gm26384,4.486131803929854e-18,3.1476100664026983e-16,-1.6866817447233897
8712,Apba3,4.642159838906475e-18,3.2341469919930816e-16,-0.6679957353471604
2552,Rab37,4.970461157726019e-18,3.4386554009359097e-16,-0.8069682783123051
6233,Bcorl1,5.143102951548927e-18,3.509014999977485e-16,-0.8795220327772455
2709,Igf1,5.143102951548927e-18,3.509014999977485e-16,-0.6125545790892097
8419,Btg2,5.506336625634156e-18,3.7311087833834734e-16,-0.7835608569865347
3886,Cyp4f15,5.697335111625511e-18,3.834267772742257e-16,-0.720219602410002
8369,Gm15542,5.8948704216303775e-18,3.940402235215495e-16,-0.7390967692554682
4075,Mpg,6.310441328682325e-18,4.161946404310283e-16,-0.6461969700753576
6219,Hs1bp3,6.310441328682325e-18,4.161946404310283e-16,-0.68410193292224
3511,Serpinb9,6.988582952513286e-18,4.578678884053903e-16,-0.7062662359683891
