,spot,x,y,rmse,pcc,snr,model,cvFold
7x15,7x15,7,15,1.1914006515937419,0.45837332784310303,3.4544019028711666,MIST,0
7x16,7x16,7,16,0.7677448388495985,0.49778040729894985,3.9760884281464586,MIST,0
7x17,7x17,7,17,0.7991008965869864,0.46056574523034055,3.9840519556414846,MIST,0
7x18,7x18,7,18,1.324474908900248,0.42991373911506586,3.58159207548696,MIST,0
8x13,8x13,8,13,1.3250852104512127,0.48016949828699584,3.7471002554326076,MIST,0
8x14,8x14,8,14,0.8129810185216554,0.6115299211885357,3.667979450635656,MIST,0
8x15,8x15,8,15,0.868841856397457,0.6134717065491033,3.6126410242556917,MIST,0
8x16,8x16,8,16,0.8385191433051783,0.5479915775473517,3.89122700120835,MIST,0
8x17,8x17,8,17,1.2328146138980374,0.5375602736693158,3.179245102482393,MIST,0
8x18,8x18,8,18,0.7707387702139878,0.5165564364784209,3.9018245588167546,MIST,0
8x19,8x19,8,19,0.7442811571527591,0.5121892840395592,4.05729324527378,MIST,0
9x13,9x13,9,13,0.8980605727582845,0.4896156204324934,3.619931978574884,MIST,0
9x14,9x14,9,14,0.9071484970429288,0.7098375804262527,3.589046242274496,MIST,0
9x15,9x15,9,15,0.8825671082116195,0.7122749236310819,3.607441855974972,MIST,0
9x16,9x16,9,16,0.9817500758995534,0.5972105879130958,3.478573304052054,MIST,0
9x17,9x17,9,17,1.3710022969514193,0.46041049023160796,3.381074581651035,MIST,0
9x18,9x18,9,18,0.8001897298286117,0.4520568138933253,3.894537991009287,MIST,0
10x13,10x13,10,13,0.7559968866642054,0.47039364107945036,3.929989661920938,MIST,0
10x15,10x15,10,15,0.8167720904803837,0.6080750731180783,3.743553847516718,MIST,0
10x16,10x16,10,16,0.7880463285117147,0.47952355590402573,3.7652591409907474,MIST,0
10x17,10x17,10,17,0.95290322476896,0.45058087179573575,3.656438158895308,MIST,0
10x18,10x18,10,18,0.8505685851485313,0.43589043791217774,3.8713485789932807,MIST,0
11x12,11x12,11,12,0.8663399108378481,0.499341252808143,3.9377392006056264,MIST,0
11x13,11x13,11,13,1.2198534245971693,0.6158617514151544,3.3798834502390016,MIST,0
11x14,11x14,11,14,0.8458493332303045,0.698077615317147,3.7106774075365196,MIST,0
11x15,11x15,11,15,0.8310217765379829,0.7352328953670711,3.761848573496773,MIST,0
11x16,11x16,11,16,1.2621823812027346,0.4766220174793004,3.355774067856512,MIST,0
11x17,11x17,11,17,0.8525526381920462,0.4848663335340979,3.7313128879832913,MIST,0
12x12,12x12,12,12,0.8098387418114309,0.4765079061232429,3.755744440719542,MIST,0
12x13,12x13,12,13,0.8663081278988297,0.5726735673462026,3.6610971823969782,MIST,0
12x14,12x14,12,14,0.7641708974017534,0.6140592033849205,3.7868176229607657,MIST,0
12x15,12x15,12,15,0.9018177488917606,0.6499296300074268,3.648024635892074,MIST,0
12x16,12x16,12,16,1.3154689123527805,0.6935426237096745,3.264458933954586,MIST,0
12x17,12x17,12,17,2.5081682876351716,0.44616712170925305,2.4788863134669374,MIST,0
13x11,13x11,13,11,0.7172546748529834,0.4608555051938495,4.004771492237785,MIST,0
13x12,13x12,13,12,0.8388960974359416,0.599752889445331,3.686603569861177,MIST,0
13x13,13x13,13,13,0.9255167663805466,0.6053436655203126,3.6243968420893586,MIST,0
13x14,13x14,13,14,0.9835908884400156,0.5588832074238322,3.4368957634072492,MIST,0
13x15,13x15,13,15,0.8449687004780874,0.599507850477073,3.705650412468292,MIST,0
13x16,13x16,13,16,0.8951599685167525,0.7084425456436542,3.671719418049305,MIST,0
13x17,13x17,13,17,0.794847316461474,0.4637048430478767,3.863485957584479,MIST,0
13x18,13x18,13,18,0.7904977825163503,0.5130309723544257,3.9717552438167023,MIST,0
14x7,14x7,14,7,1.3856643058354516,0.5107701370819874,3.1826281616203844,MIST,0
14x8,14x8,14,8,1.0842432976685885,0.5870695276572188,3.555117104644853,MIST,0
14x9,14x9,14,9,0.9822944212343049,0.4780764801285543,3.6026732358800797,MIST,0
14x10,14x10,14,10,0.8571200966712401,0.5938065778954853,3.663838549022778,MIST,0
14x11,14x11,14,11,0.8032042864636348,0.5587848304417306,3.7702124551484335,MIST,0
14x12,14x12,14,12,0.786230410200254,0.6130827647457069,3.7950629257552295,MIST,0
14x13,14x13,14,13,0.8178096933574899,0.5247914105117525,3.803589746625691,MIST,0
14x14,14x14,14,14,0.8262299747307106,0.591932056084954,3.7861331290991727,MIST,0
14x15,14x15,14,15,0.7647214449073799,0.6526233442409612,3.89876000707645,MIST,0
14x16,14x16,14,16,0.8097287711267999,0.7516316100750188,3.763934230930191,MIST,0
14x17,14x17,14,17,0.7465839166034647,0.46519706119475596,3.981258617425493,MIST,0
14x18,14x18,14,18,0.9533730945308545,0.5026664606097706,3.7096174003330615,MIST,0
15x5,15x5,15,5,0.780896308917059,0.48656127091883034,3.9477576975750996,MIST,0
15x6,15x6,15,6,0.9033682098725818,0.4834939218584496,3.588912873219894,MIST,0
15x7,15x7,15,7,0.847010388233369,0.579078662608037,3.7063003306465694,MIST,0
15x8,15x8,15,8,0.881401805979283,0.5122235551768588,3.651553797170844,MIST,0
15x9,15x9,15,9,0.8144770083971442,0.6910272061443481,3.7595748323416855,MIST,0
15x10,15x10,15,10,0.8071785715536121,0.7733601526397009,3.7976238857334694,MIST,0
15x11,15x11,15,11,0.8223641074767267,0.5743755599476368,3.7780580880441557,MIST,0
15x12,15x12,15,12,0.8156531627345713,0.5604445254052491,3.7869184551007398,MIST,0
15x13,15x13,15,13,0.7038104920884888,0.7263168875334554,3.9336652546033597,MIST,0
15x14,15x14,15,14,0.8673989071602399,0.6447557846102894,3.653126090821342,MIST,0
15x15,15x15,15,15,0.8799784539959575,0.5853594557584553,3.6440119474222112,MIST,0
15x16,15x16,15,16,0.7536754886013506,0.8114166695470998,3.900164775337525,MIST,0
15x17,15x17,15,17,0.9130184140837188,0.5145731191043957,3.5481572105795802,MIST,0
15x18,15x18,15,18,0.8903154740094218,0.5198265975014817,3.859933089500143,MIST,0
16x3,16x3,16,3,0.8000920786325926,0.5442827342536832,3.935257810596917,MIST,0
