,spot,x,y,rmse,pcc,snr,model,cvFold
10x14,10x14,10,14,0.8517429196759605,0.4548956713953462,3.3987941851600674,MIST,0
10x15,10x15,10,15,0.83021129241766,0.4239185783202677,3.514815305746501,MIST,0
10x16,10x16,10,16,0.8377312351465596,0.4469919716259562,3.4755545237855663,MIST,0
10x17,10x17,10,17,0.9509894959226453,0.3877615992766875,3.214830618852167,MIST,0
10x19,10x19,10,19,0.9134281088031239,0.4438752482120694,3.3632667337175812,MIST,0
10x2,10x2,10,2,0.9411234753504126,0.5615477345311208,3.2437153628609625,MIST,0
10x21,10x21,10,21,0.7980285704740582,0.5175982124521896,3.6118244533222823,MIST,0
10x22,10x22,10,22,0.8259096915442263,0.466114888819335,3.4273460013705233,MIST,0
10x23,10x23,10,23,0.948036021166825,0.5212670106460375,3.2107011791380486,MIST,0
10x24,10x24,10,24,0.9558740483148386,0.5330334822131875,3.1940855988698353,MIST,0
10x25,10x25,10,25,0.9311339547322136,0.5026413468078995,3.227686969402964,MIST,0
10x26,10x26,10,26,0.9088753538815474,0.5302182908620482,3.27428163736944,MIST,0
10x27,10x27,10,27,0.8663650845566899,0.5136553948369447,3.3398506501528242,MIST,0
10x3,10x3,10,3,0.8964387276887591,0.5849270143907024,3.3021387396035347,MIST,0
10x4,10x4,10,4,0.9301954150758364,0.6371929896364726,3.2664368697129564,MIST,0
10x5,10x5,10,5,0.8986149738915483,0.6458706701549632,3.2948531308648454,MIST,0
10x6,10x6,10,6,0.9419869445176123,0.5866150910186473,3.246807004943397,MIST,0
11x13,11x13,11,13,0.8035033891439889,0.4350826096167256,3.5570062069885386,MIST,0
11x14,11x14,11,14,0.938145490274968,0.41441803311415515,3.2948113399966146,MIST,0
11x15,11x15,11,15,0.9114752250906649,0.5237713257285158,3.4835923334797503,MIST,0
11x16,11x16,11,16,0.8963315479487914,0.4589216550064263,3.438680169215747,MIST,0
11x17,11x17,11,17,0.9284633579341085,0.40773941664890945,3.251438997751994,MIST,0
