,spot,x,y,rmse,pcc,snr,model,cvFold
10x11,10x11,10,11,1.0315345915026195,0.5483615231722707,3.138471876829119,MIST,0
10x13,10x13,10,13,0.9533712918311692,0.42614511052589726,3.3710548454720763,MIST,0
10x19,10x19,10,19,0.9834350338842149,0.432069245907968,3.228968117352071,MIST,0
10x20,10x20,10,20,0.9876517582850446,0.3891743409007744,3.3264830052553815,MIST,0
10x21,10x21,10,21,0.9233073933231345,0.5417038339808881,3.299639552131918,MIST,0
10x22,10x22,10,22,0.918834412180156,0.5096159207120828,3.333167237509925,MIST,0
10x23,10x23,10,23,0.8900374407605605,0.5267516347146922,3.37559963291868,MIST,0
10x24,10x24,10,24,0.9008701482768494,0.5086335085567397,3.369624676039358,MIST,0
10x25,10x25,10,25,0.9866342486875164,0.598193591296977,3.280030439949381,MIST,0
10x26,10x26,10,26,0.8784937052960826,0.5004463838839225,3.376059605505231,MIST,0
10x27,10x27,10,27,0.847256596184681,0.4933806604612938,3.4483810413252995,MIST,0
10x28,10x28,10,28,0.8851441449181897,0.4648201764392492,3.376853644270538,MIST,0
11x10,11x10,11,10,1.0218287913043516,0.5211686164438114,3.1761502866608637,MIST,0
11x11,11x11,11,11,0.9864298264451844,0.5533960790109488,3.2238339679542887,MIST,0
11x13,11x13,11,13,0.9536802917205576,0.4386068027669364,3.249700813049066,MIST,0
11x19,11x19,11,19,0.8854082097789239,0.4500342806058637,3.4516748493334033,MIST,0
11x20,11x20,11,20,1.04928218973137,0.4822396742591341,3.1226812610867674,MIST,0
11x21,11x21,11,21,0.8520519667388111,0.38888933596916225,3.496866861203843,MIST,0
11x22,11x22,11,22,1.0147123314736737,0.4625750771046824,3.3798418466851947,MIST,0
11x23,11x23,11,23,0.9695027256928449,0.5316311155997444,3.228998370964703,MIST,0
11x24,11x24,11,24,0.9122490846253233,0.5475720319971199,3.3151501123128484,MIST,0
11x25,11x25,11,25,0.8696115687699716,0.5054392865385391,3.4050049912936218,MIST,0
11x26,11x26,11,26,0.9241607092957336,0.48163247750089166,3.3529506476454074,MIST,0
11x27,11x27,11,27,0.9746231621542665,0.5365150923751678,3.238900616225154,MIST,0
11x28,11x28,11,28,0.8676161759587026,0.5271863720385886,3.363407343482831,MIST,0
12x10,12x10,12,10,0.9473477772516661,0.5856964645790701,3.283952238552484,MIST,0
12x11,12x11,12,11,0.8951180406829624,0.5282764245165046,3.3462518007959017,MIST,0
12x13,12x13,12,13,0.9524532571595379,0.4395876296537399,3.283437856690174,MIST,0
12x21,12x21,12,21,1.0232188636693553,0.45441319302963296,3.1882797580364786,MIST,0
12x22,12x22,12,22,0.9042764227587443,0.3876717160758007,3.4478613438894676,MIST,0
12x23,12x23,12,23,0.8529419087898534,0.4328512597245884,3.583740872636095,MIST,0
