,spot,x,y,rmse,pcc,snr,model,cvFold
15x10,15x10,15,10,0.9862422057745273,0.38050355111306633,3.454499560949429,MIST,0
16x10,16x10,16,10,0.963409991928846,0.4212766674088975,3.385740245845632,MIST,0
17x10,17x10,17,10,1.0432800533768867,0.44620993897010713,3.301307780793493,MIST,0
18x10,18x10,18,10,0.9755049539659416,0.5020687805289898,3.4219306507033824,MIST,0
19x10,19x10,19,10,0.9893125280896014,0.4189989987989772,3.36547410477852,MIST,0
20x10,20x10,20,10,1.0082690081127286,0.5260755771752235,3.3467972009272935,MIST,0
21x10,21x10,21,10,1.0380092560246104,0.48154860922231596,3.35799020871274,MIST,0
22x10,22x10,22,10,1.093888849041266,0.473737135821013,3.2148724018999837,MIST,0
23x10,23x10,23,10,0.9533820812004348,0.4150648969240985,3.463800768430453,MIST,0
24x10,24x10,24,10,0.9133782804177843,0.5436764651950656,3.4445681363879483,MIST,0
25x10,25x10,25,10,0.9840329395277777,0.5614445282623155,3.458538196403005,MIST,0
26x10,26x10,26,10,1.088778424875949,0.47987720749506857,3.2257228552773722,MIST,0
27x10,27x10,27,10,1.1260364850147158,0.4254027395901448,3.221816067674891,MIST,0
28x10,28x10,28,10,1.0916683065565373,0.3943589118412132,3.319198346898443,MIST,0
29x10,29x10,29,10,0.9778034882082108,0.37395184457126485,3.3899029445060878,MIST,0
30x10,30x10,30,10,1.0648304535432256,0.4077015053721395,3.339442525945365,MIST,0
31x10,31x10,31,10,1.04305937698927,0.37927965360622823,3.3499274808492734,MIST,0
32x10,32x10,32,10,1.1219592484644467,0.4636203955203764,3.2151948384049014,MIST,0
15x11,15x11,15,11,1.010135492773314,0.3909178421085207,3.4698438666516975,MIST,0
16x11,16x11,16,11,1.0563930917949877,0.3973013466835012,3.309821547206415,MIST,0
17x11,17x11,17,11,1.0047916707179942,0.4696946468974726,3.3418565258388107,MIST,0
18x11,18x11,18,11,0.8626979094772532,0.4638782313695319,3.6412810538762175,MIST,0
19x11,19x11,19,11,0.8877565979578885,0.4589259791859078,3.5441198788545223,MIST,0
20x11,20x11,20,11,0.9488821333875145,0.45956619585818226,3.4368344696534248,MIST,0
