Spot	SampleID	Genotype	Mouse	Group	Region_predict	AT	Level_01	Level_02	Level_03	Region_new	Region_equalsize	Age	WholeBrain	coord_Y	coord_X	img_coord_Y	img_coord_X	slide_id
B02_D1__10_10	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	10	10	2889.857422	2857.517578	B02_D1
B02_D1__10_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	10	4092.479736	2854.240967	B02_D1
B02_D1__10_15	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	15	10	4401.529297	2858.385986	B02_D1
B02_D1__10_16	B02_D1	WT	B02	WT_03	AT_CNU	CNU				CNU		3	all	16	10	4710.758301	2859.420166	B02_D1
B02_D1__10_17	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	17	10	5006.457031	2858.532715	B02_D1
B02_D1__10_19	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	19	10	5614.273926	2860.540771	B02_D1
B02_D1__10_20	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	20	10	5930.379883	2864.758789	B02_D1
B02_D1__10_21	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	21	10	6216.094727	2866.340576	B02_D1
B02_D1__10_22	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	22	10	6537.789551	2863.882324	B02_D1
B02_D1__10_23	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	23	10	6833.134277	2865.643555	B02_D1
B02_D1__10_24	B02_D1	WT	B02	WT_03	AT_SSp	SSp	CX	SSp		SSp	CX_01	3	all	24	10	7136.09668	2864.238281	B02_D1
B02_D1__10_3	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	3	10	764.7485352	2847.064209	B02_D1
B02_D1__10_4	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	4	10	1064.569336	2847.726074	B02_D1
B02_D1__10_5	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	5	10	1366.536133	2850.932129	B02_D1
B02_D1__10_6	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	6	10	1671.127686	2859.213623	B02_D1
B02_D1__10_7	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	7	10	1975.182251	2857.357178	B02_D1
B02_D1__10_8	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	8	10	2278.795166	2846.16748	B02_D1
B02_D1__10_9	B02_D1	WT	B02	WT_03	AT_CTXsp	CTXsp	CX	CTXsp		CTXsp	CX_03	3	all	9	10	2583.472412	2849.913818	B02_D1
B02_D1__11_14	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	14	11	4057.486084	3168.065186	B02_D1
B02_D1__11_15	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	15	11	4378.197754	3174.953125	B02_D1
B02_D1__11_16	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	16	11	4694.970703	3168.030518	B02_D1
B02_D1__11_17	B02_D1	WT	B02	WT_03	AT_FB	FB		FB		FB	FB	3	all	17	11	4976.004395	3172.220947	B02_D1
B02_D1__11_19	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	19	11	5587.775391	3172.998291	B02_D1
B02_D1__11_2	B02_D1	WT	B02	WT_03	AT_OLF	OLF	CX	OLF		OLF	CX_03	3	all	2	11	438.3728638	3150.349365	B02_D1
B02_D1__11_20	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	20	11	5900.923828	3174.136475	B02_D1
B02_D1__11_21	B02_D1	WT	B02	WT_03	AT_AUD	AUD	CX	AUD		AUD	CX_02	3	all	21	11	6199.961426	3177.694336	B02_D1
