,gene,pval,sig,lfc,DEG
530,SPP1,6.345593422457509e-24,10.0,3.7760489144259566,Up
91,SERPINE2,1.2247606246005166e-23,10.0,4.435148831096514,Up
563,MCAM,1.344933632272162e-23,10.0,5.352463339397689,Up
641,HSP90AA1,6.129581531249615e-23,10.0,1.6965918798786053,Up
2342,NDRG1,1.2585380753033446e-22,10.0,4.824934361846058,Up
781,ATP1A1,1.534213415548069e-22,10.0,2.669076248966313,Up
436,MLANA,5.068769396735037e-22,10.0,6.336641291109636,Up
287,RPL11,8.566562149236267e-22,10.0,-1.3461993049434593,Down
2193,TXNIP,1.2626875616887709e-21,10.0,-3.8864687658643238,Down
1687,SEMA3C,1.3203604446973458e-21,10.0,6.193559006708029,Up
438,CD52,1.3401579742415446e-21,10.0,-5.267367823984906,Down
1173,SFRP1,1.465262594674279e-21,10.0,7.219481767193525,Up
97,PMEL,2.0921137954148014e-21,10.0,6.366762703541696,Up
528,MS4A1,1.147773843340278e-20,10.0,-6.182880084674657,Down
1046,PLA1A,1.8790278622236833e-20,10.0,6.633951741699323,Up
6,MFGE8,2.7739207405444144e-20,10.0,4.691006981082521,Up
165,GNAS,4.0879925290897396e-20,10.0,1.2829101979759265,Up
809,TMSB4X,7.44749817498392e-20,10.0,-2.8641153523095166,Down
656,TUBA1B,1.241258774820313e-19,10.0,2.084664068288193,Up
2778,HLA-DRA,1.5127969069655473e-19,10.0,-3.633969257884135,Down
2604,GPNMB,1.7917011481284707e-19,10.0,4.9342753164150865,Up
137,GAPDH,4.2716471066224417e-19,10.0,1.452509688875601,Up
544,CSPG4,4.709236985546959e-19,10.0,4.860991672724856,Up
1114,CCND1,5.191055845160631e-19,10.0,5.439300204554936,Up
521,ENO1,6.482840827946385e-19,10.0,2.5714029920270374,Up
21,LGALS3,3.962782542859753e-18,10.0,3.8022502262655955,Up
2296,LTB,5.0563427359991566e-18,10.0,-5.661054609735422,Down
4214,CXCR4,6.446770688041425e-18,10.0,-5.577404930686997,Down
148,ANXA5,1.4798614602081252e-17,10.0,4.11139739304844,Up
93,DLL3,2.0364021545724577e-17,10.0,5.051916069363897,Up
950,MT2A,2.2345511217408963e-17,10.0,5.804940053159475,Up
247,DUSP4,2.4194480920093093e-17,10.0,5.734225077751544,Up
320,PRAME,3.1103303320430206e-17,10.0,5.997430830311419,Up
1246,HSPA2,3.278883393230429e-17,10.0,6.313662636045125,Up
142,RPS27,4.496764470430962e-17,10.0,-0.7642776895891359,Not significant
437,CD74,5.693710774146223e-17,9.997391148949859,-2.954510152865497,Down
1763,CD79B,5.999668747870193e-17,9.997391148949859,-5.669022631493174,Down
456,ALDOA,6.489249878071971e-17,9.997391148949859,2.7986279890704795,Up
684,LMNA,6.748610274045612e-17,9.997391148949859,2.8626676304752126,Up
820,LAPTM5,7.018188455728583e-17,9.997391148949859,-2.8574047431499707,Down
427,HSPB1,8.423389619508276e-17,9.997391148949859,3.587540140163055,Up
2442,ANXA1,9.469683211406971e-17,9.997391148949859,4.326750217350848,Up
2758,SDCBP,9.593568810231205e-17,9.997391148949859,4.374682805454033,Up
1832,NBL1,1.196147975665831e-16,9.997391148949859,4.457448370971672,Up
2735,HMGA2,1.2275429282612754e-16,9.997391148949859,5.953890552608234,Up
3465,CD37,1.2761646606331608e-16,9.997391148949859,-5.822721545532268,Down
1157,HIPK2,1.2927900997565813e-16,9.997391148949859,5.960185641800747,Up
573,P4HB,1.3266842319456033e-16,9.997391148949859,2.002492113923326,Up
1344,MOK,1.8319685410977697e-16,9.994810263166237,5.8864511377217426,Up
1074,FASN,2.908143599530649e-16,9.992239887999139,4.443117839335759,Up
567,HMGA1,4.0014049467239335e-16,9.989685577846906,3.3676863904705403,Up
4111,BTG1,1.1140199156410411e-15,9.974663748351672,-3.9361414286157155,Down
217,EEF1B2,1.485738224768691e-15,9.967348210931288,-1.2353907079394872,Down
46,F2R,1.882945244292774e-15,9.957783593257139,5.509653734088586,Up
66,PRKAR1A,1.954567784091047e-15,9.955431411677631,4.314402514129058,Up
159,POSTN,1.954567784091047e-15,9.955431411677631,4.506702540569163,Up
1450,TSPAN7,2.054252753980072e-15,9.953100990025954,5.527015614205456,Up
299,ZFP36L2,2.1322864402626252e-15,9.953100990025954,-2.5790254594604365,Down
1098,CD63,2.4441992629670844e-15,9.946156567583367,2.6090182326286726,Up
969,XAGE1B,3.455441550215396e-15,9.925931941523139,6.088709819550494,Up
156,HSBP1,4.699866022713216e-15,9.902433191100013,4.950201908063848,Up
130,EIF4A1,6.868213353820844e-15,9.862718223527175,2.7896415758120643,Up
218,FAM213A,9.774337324032217e-15,9.815996610228028,5.365090560653081,Up
2789,CYBA,1.051201723563301e-14,9.804255576009483,-3.5319036056233184,Down
2380,ERBB3,1.1581391781797464e-14,9.789609150814558,5.75540720002355,Up
302,RPL12,1.724371109937414e-14,9.71472621852382,-0.834649455739088,Not significant
2260,PMP22,1.9444505997419728e-14,9.688588709464637,5.618919231221605,Up
4082,RNASET2,1.9444505997419728e-14,9.688588709464637,-4.190732217878065,Down
2138,XAGE1A,2.1402112060193066e-14,9.666393789104644,5.911434271292379,Up
169,LGALS3BP,2.5004309813295223e-14,9.629455015139962,5.086730100857483,Up
691,COL14A1,3.174059559538832e-14,9.566696183017072,5.419300461462169,Up
774,FGL2,3.931040656470286e-14,9.506017325504233,5.106137635119843,Up
95,NEAT1,4.171118627814348e-14,9.48811364699283,3.0674728366623567,Up
292,PYGB,4.531613417419961e-14,9.463307668046927,4.919815667834752,Up
124,RPS27A,4.864863061279473e-14,9.44128373153028,-0.5883786526280463,Not significant
2019,ACP5,5.539554209234485e-14,9.399636529532215,3.764688696459608,Up
250,S100B,5.80704164354072e-14,9.384327353068858,5.359699704180302,Up
931,TBC1D4,6.688022709206705e-14,9.337328309301519,5.046731927512609,Up
695,RPL7A,8.862256074556169e-14,9.238824357691664,-1.056809231802232,Down
2414,KDR,1.1193587650531717e-13,9.153406767654834,5.4249542894377845,Up
